repo_id,name,full_name,owner_login,stars,forks,language,created_at,updated_at,url
725089041,OpenVoice,myshell-ai/OpenVoice,myshell-ai,36225,4030,Python,2023-11-29 12:17:01,2026-04-14 10:39:42,https://github.com/myshell-ai/OpenVoice
1052050442,hello-agents,datawhalechina/hello-agents,datawhalechina,36222,4286,Python,2025-09-07 09:50:24,2026-04-14 10:59:30,https://github.com/datawhalechina/hello-agents
642323624,DragGAN,XingangPan/DragGAN,XingangPan,35908,3431,Python,2023-05-18 10:08:02,2026-04-14 07:46:27,https://github.com/XingangPan/DragGAN
1016323751,langextract,google/langextract,google,35631,2421,Python,2025-07-08 20:46:06,2026-04-14 09:32:58,https://github.com/google/langextract
355959597,textual,Textualize/textual,Textualize,35400,1166,Python,2021-04-08 15:24:47,2026-04-14 08:07:25,https://github.com/Textualize/textual
154739597,jax,jax-ml/jax,jax-ml,35382,3526,Python,2018-10-25 21:25:02,2026-04-14 10:52:30,https://github.com/jax-ml/jax
619521008,Retrieval-based-Voice-Conversion-WebUI,RVC-Project/Retrieval-based-Voice-Conversion-WebUI,RVC-Project,35216,4981,Python,2023-03-27 09:59:10,2026-04-14 10:44:39,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI
520969009,Hello-Python,mouredev/Hello-Python,mouredev,35154,2273,Python,2022-08-03 17:14:53,2026-04-14 07:24:25,https://github.com/mouredev/Hello-Python
387326890,Real-ESRGAN,xinntao/Real-ESRGAN,xinntao,35058,4310,Python,2021-07-19 03:23:30,2026-04-14 08:40:47,https://github.com/xinntao/Real-ESRGAN
2881789,Python,geekcomputers/Python,geekcomputers,34964,12916,Python,2011-11-30 09:04:08,2026-04-14 05:50:58,https://github.com/geekcomputers/Python
6007295,jieba,fxsjy/jieba,fxsjy,34852,6706,Python,2012-09-29 07:52:01,2026-04-14 08:56:41,https://github.com/fxsjy/jieba
206660580,detectron2,facebookresearch/detectron2,facebookresearch,34311,7923,Python,2019-09-05 21:30:20,2026-04-14 09:13:43,https://github.com/facebookresearch/detectron2
123303402,poetry,python-poetry/poetry,python-poetry,34264,2426,Python,2018-02-28 15:23:47,2026-04-14 09:44:39,https://github.com/python-poetry/poetry
608555244,TaskMatrix,chenfei-wu/TaskMatrix,chenfei-wu,34163,3239,Python,2023-03-02 09:04:28,2026-04-14 07:46:19,https://github.com/chenfei-wu/TaskMatrix
91573538,12306,testerSunshine/12306,testerSunshine,34150,9672,Python,2017-05-17 12:23:40,2026-04-14 06:34:57,https://github.com/testerSunshine/12306
396569538,khoj,khoj-ai/khoj,khoj-ai,34064,2133,Python,2021-08-16 01:48:44,2026-04-14 10:23:20,https://github.com/khoj-ai/khoj
